,property_id,county,state,prop_type,2020_avg,2019_avg,2020_01_avg,2020_02_avg,2020_03_avg,2020_04_avg,2020_05_avg,2020_06_avg,2020_07_avg,2020_08_avg,2020_09_avg,2020_10_avg,2020_11_avg,2020_12_avg
115,O3919627564,New York,New York,single_family,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56
116,O3944496635,New York,New York,condo,1027.54,1289.26,1027.54,1027.54,1027.54,1027.54,1027.54,1027.54,1027.54,991.73,991.73,991.73,991.73,991.73
117,O4020705487,New York,New York,condo,2286.91,3157.90,2286.91,2286.91,2286.91,2286.91,2286.91,2286.91,2286.91,2286.91,2286.91,2286.91,2258.36,2201.26
118,O4052838697,New York,New York,multi_family,637.64,725.45,637.64,637.64,637.64,637.64,637.64,637.64,637.64,631.18,631.18,631.18,631.18,631.18
119,O4067902451,New York,New York,condo,3569.04,3431.22,3569.04,3569.04,3569.04,3569.04,3569.04,3706.85,3706.85,3706.85,3706.85,3706.85,3706.85,3706.85
120,O4123746706,New York,New York,multi_family,984.10,984.10,984.10,984.10,984.10,984.10,984.10,984.10,984.10,984.10,984.10,984.10,984.10,984.10
121,O4167324411,New York,New York,multi_family,635.88,635.88,635.88,635.88,635.88,635.88,635.88,635.88,635.88,633.33,633.33,633.33,633.33,633.33
122,O4205806984,New York,New York,multi_family,321.37,321.37,321.37,321.37,321.37,321.37,321.37,321.37,320.83,320.83,317.95,311.41,311.41,311.41
123,O4214848087,New York,New York,condo,342.38,239.13,342.38,342.38,340.55,340.55,340.55,337.99,336.13,334.11,332.09,326.09,326.09,326.09
124,O4373405226,New York,New York,condo,320.83,197.99,320.83,320.83,320.83,320.83,320.83,320.83,320.83,320.83,320.83,320.83,320.83,320.83
125,O4449714503,New York,New York,multi_family,207.10,207.10,207.10,207.10,207.10,207.10,207.10,207.10,207.10,196.03,196.03,196.03,196.03,196.03
126,O4505533260,New York,New York,condo,1506.25,1506.25,1506.25,1506.25,1506.25,1506.25,1506.25,1506.25,1450.00,1450.00,1450.00,1450.00,1450.00,1450.00
127,O4517672908,New York,New York,single_family,678.30,678.30,678.30,678.30,678.30,678.30,678.30,678.30,635.54,614.71,577.31,577.31,577.31,577.31
128,O4519142177,New York,New York,single_family,424.36,424.36,424.36,424.36,424.36,424.36,424.36,424.36,424.36,424.36,424.36,424.36,424.36,424.36
129,O4611925478,New York,New York,multi_family,629.24,810.14,629.24,583.63,583.63,583.63,583.63,583.63,583.63,583.63,583.63,583.63,583.63,583.63
130,O4637702138,New York,New York,single_family,469.61,469.61,469.61,469.61,469.61,469.61,469.61,469.61,469.61,469.61,470.09,470.09,470.09,470.09
131,O4684373068,New York,New York,condo,426.83,288.69,426.83,426.83,426.83,426.83,426.83,426.83,426.83,426.83,426.83,426.83,426.83,426.83
132,O4696679756,New York,New York,single_family,739.07,401.38,739.07,739.07,739.07,739.07,739.07,739.07,739.07,739.07,739.07,739.07,739.07,739.07
133,O4760350102,New York,New York,single_family,423.58,423.58,423.58,423.58,423.58,423.58,423.58,423.58,423.58,423.58,416.67,416.67,416.67,416.67
134,O4763549378,New York,New York,multi_family,440.00,440.00,440.00,440.00,440.00,440.00,440.00,440.00,423.08,423.08,423.08,423.08,423.08,423.08
135,O4770831613,New York,New York,condo,1382.65,1382.65,1382.65,1382.65,1382.65,1382.65,1382.65,1382.65,1382.65,1382.65,1382.65,1381.63,1379.59,1379.59
136,O4785094687,New York,New York,condo,346.04,346.04,346.04,346.04,346.04,346.04,346.04,346.04,343.38,342.20,342.01,341.84,341.40,340.05
137,O4795509036,New York,New York,single_family,739.15,739.15,739.15,739.15,739.15,739.15,739.15,739.15,739.15,732.94,725.33,718.75,699.01,699.01
138,O4860329031,New York,New York,condo,405.42,235.84,405.42,402.78,398.38,397.96,395.24,392.86,385.71,385.71,385.71,385.71,385.71,385.71
139,O4890226986,New York,New York,multi_family,189.57,189.57,189.57,189.57,189.57,189.57,189.57,189.57,189.57,189.57,189.57,189.57,187.50,187.50
140,O4943140956,New York,New York,single_family,440.35,440.35,440.35,440.35,440.35,440.35,440.35,440.35,445.61,445.61,445.61,445.61,445.61,445.61
141,O4972388730,New York,New York,condo,313.33,235.98,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33,313.33
142,O4973874353,New York,New York,multi_family,291.87,291.87,291.87,291.87,291.87,291.87,291.87,291.87,293.88,293.88,293.88,293.88,293.88,293.88
143,O4986970229,New York,New York,multi_family,375.00,375.00,375.00,375.00,375.00,375.00,375.00,375.00,375.00,375.00,375.00,375.00,375.00,375.00
144,O7000420294,Houston,Texas,single_family,130.67,73.92,130.67,130.67,130.67,130.67,130.67,130.67,130.67,130.67,130.67,130.67,130.67,130.67
145,O7010530124,Houston,Texas,condo,209.22,227.68,209.22,209.22,209.22,209.22,209.22,209.22,209.22,209.22,209.22,209.22,209.22,209.22
146,O7053497756,Houston,Texas,condo,100.09,59.27,100.09,100.09,100.09,100.09,100.09,100.09,100.09,100.09,100.09,100.09,100.09,100.09
147,O7064201215,Houston,Texas,single_family,96.27,71.56,96.27,96.27,96.27,96.27,96.27,96.27,96.27,96.27,96.27,96.27,96.27,96.27
148,O7105099714,Houston,Texas,condo,72.88,21.04,72.88,72.88,72.88,72.88,72.88,72.88,72.88,72.88,72.88,72.88,72.88,72.88
149,O7132202050,Houston,Texas,condo,257.73,222.82,257.73,257.73,257.73,257.73,257.73,257.73,257.73,257.73,257.73,257.73,257.73,257.73
150,O7145550932,Houston,Texas,condo,264.20,268.08,264.20,264.20,264.20,264.20,264.20,264.20,264.20,264.20,264.20,264.20,264.20,264.20
151,O7175715342,Houston,Texas,single_family,182.91,173.17,182.91,182.91,182.91,182.91,182.91,182.91,182.91,182.91,181.41,181.41,182.91,182.91
152,O7177349848,Houston,Texas,multi_family,216.33,156.86,216.33,216.33,216.33,216.33,216.33,216.33,216.33,216.33,216.33,216.33,216.33,216.33
153,O7191694392,Houston,Texas,condo,207.00,207.00,207.00,207.00,207.00,207.00,207.00,207.00,207.00,207.00,205.48,200.91,207.00,207.00
154,O7219875668,Houston,Texas,condo,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39
155,O7258687552,Houston,Texas,multi_family,193.38,236.64,193.38,193.38,193.38,193.38,193.38,193.38,193.38,193.38,193.38,193.38,193.38,193.38
156,O7263244848,Houston,Texas,condo,460.40,395.12,460.40,460.40,460.40,460.40,454.79,451.19,451.19,451.19,451.19,460.40,460.40,460.40
157,O7344024970,Houston,Texas,single_family,335.38,323.49,335.38,335.38,335.38,335.38,335.38,334.17,334.17,333.34,333.34,333.34,330.19,335.38
158,O7427547393,Houston,Texas,condo,123.04,123.04,123.04,123.04,123.04,123.04,123.04,123.04,123.04,123.04,123.04,123.04,123.04,123.04
159,O7430454137,Houston,Texas,condo,144.32,144.32,144.32,144.32,140.67,140.67,140.67,140.67,136.88,136.88,133.08,133.08,144.32,144.32
160,O7462081550,Houston,Texas,condo,120.86,65.93,120.86,120.86,120.86,120.86,120.86,120.86,120.86,120.86,120.86,120.86,120.86,120.86
161,O7468172956,Houston,Texas,multi_family,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76
162,O7496425617,Houston,Texas,multi_family,86.05,105.53,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05,86.05
163,O7524471035,Houston,Texas,condo,804.38,804.38,804.38,804.38,804.38,804.38,804.38,804.38,804.38,804.38,804.38,804.38,804.38,804.38
164,O7526439742,Houston,Texas,single_family,443.60,443.60,443.60,443.60,443.60,443.60,443.60,443.60,443.60,443.60,443.60,443.60,443.60,443.60
165,O7538172307,Houston,Texas,condo,176.92,199.38,176.92,176.92,176.92,176.92,176.92,176.92,176.92,176.92,176.92,176.92,176.92,176.92
166,O7585691184,Houston,Texas,single_family,165.88,165.88,165.88,165.88,165.88,165.88,165.88,165.88,165.88,165.88,165.88,165.88,165.88,165.88
167,O7585904904,Houston,Texas,single_family,154.25,132.83,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25,154.25
168,O7613362230,Houston,Texas,single_family,139.61,139.61,139.61,139.61,139.61,139.61,139.61,139.61,139.61,139.61,139.61,139.61,139.61,139.61
169,O7627788675,Houston,Texas,single_family,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83
170,O7656473700,Houston,Texas,condo,183.80,136.40,183.80,183.80,183.80,183.80,183.80,183.80,183.80,183.25,182.62,182.07,180.46,183.80
171,O7715292257,Houston,Texas,single_family,128.28,99.15,128.28,128.28,128.28,128.28,128.28,128.28,128.28,128.28,128.28,128.28,128.28,128.28
