,property_id,county,state,prop_type,2020_avg,2019_avg,2020_01_avg,2020_02_avg,2020_03_avg,2020_04_avg,2020_05_avg,2020_06_avg,2020_07_avg,2020_08_avg,2020_09_avg,2020_10_avg,2020_11_avg,2020_12_avg
212,O9325484330,New York,New York,condo,314.91,314.91,314.91,314.91,314.91,314.91,314.91,257.07,257.07,257.07,257.07,257.07,257.07,257.07
213,O9349382550,New York,New York,condo,516.25,516.25,516.25,516.25,516.25,516.25,516.25,516.25,516.25,516.25,508.33,508.33,508.33,508.33
214,O9390450315,New York,New York,multi_family,611.60,611.60,611.60,611.60,611.60,611.60,611.60,592.03,562.32,531.89,484.06,484.06,484.06,484.06
215,O9398083782,New York,New York,condo,1063.07,1110.61,1063.07,1063.07,1063.07,1063.07,1063.07,1063.07,1063.07,1063.07,1063.07,1053.69,1034.93,1034.93
216,O9473133772,Houston,Texas,single_family,186.59,186.59,186.59,186.59,186.59,186.59,186.59,186.59,186.59,186.59,186.59,186.59,186.59,186.59
217,O9504223440,Los Angeles,California,multi_family,292.71,292.71,292.71,292.71,292.71,292.71,292.71,292.71,292.71,292.71,292.71,292.71,292.71,274.11
218,O9536506696,New York,New York,multi_family,206.90,206.90,206.90,206.90,206.90,206.90,206.90,206.90,206.90,206.90,206.90,206.90,206.90,206.90
219,O9645070259,New York,New York,condo,458.79,458.79,458.79,458.79,458.79,458.79,458.79,458.79,458.79,458.79,458.79,458.79,458.79,458.79
220,O9773272406,New York,New York,condo,3978.18,3978.18,3978.18,3978.18,3978.18,3978.18,3978.18,3978.18,3909.76,3909.76,3909.76,3704.47,3704.47,3704.47
221,O9837311157,New York,New York,multi_family,424.64,433.61,424.64,424.64,424.64,424.64,424.64,424.64,424.64,424.64,424.64,424.64,424.64,424.64
222,O9847628200,New York,New York,condo,1314.22,1314.22,1314.22,1314.22,1314.22,1314.22,1314.22,1314.22,1314.22,1314.22,1314.22,1314.22,1314.22,1314.22
223,O9900796212,Los Angeles,California,multi_family,194.95,194.95,194.95,194.95,194.95,194.95,194.95,194.95,194.95,194.95,194.95,176.58,176.58,176.58
224,O9925630289,New York,New York,multi_family,532.11,532.11,532.11,532.11,532.11,532.11,532.11,514.07,514.07,514.07,514.07,514.07,514.07,514.07
225,O9943320001,Houston,Texas,single_family,184.47,184.47,184.47,184.47,184.47,184.47,184.47,184.47,184.47,184.47,184.47,184.47,184.47,184.47
226,O9986931388,New York,New York,single_family,359.57,359.57,359.57,359.57,359.57,359.57,359.57,359.57,359.57,359.57,359.57,359.57,359.57,359.57
